Gene_Name,family,name
LNX1,,
PNMA6A,['IPR026523'],['Paraneoplastic antigen Ma']
KRTAP20-4,['IPR026523'],['Paraneoplastic antigen Ma']
AKAIN1,,
CCDC126,"['IPR027833', 'IPR042759']","['Domain of unknown function DUF4525', 'Coiled-coil domain-containing protein 126']"
KRTAP20-3,"['IPR027833', 'IPR042759']","['Domain of unknown function DUF4525', 'Coiled-coil domain-containing protein 126']"
,,
SPART-AS1,,
LIMS3,['IPR017351'],['LIM and senescent cell antigen-like-containing domain protein 1']
KRTAP6-2,"['IPR021743', 'IPR040313']","['Keratin-associated protein, type6/8/16/19/20/21', 'Keratin-associated protein 6']"
GLMN,"['IPR013877', 'IPR019516']","['YAP-binding/ALF4/Glomulin', 'Glomulin/ALF4']"
PDZK1,,
KRTAP20-1,['IPR021743'],"['Keratin-associated protein, type6/8/16/19/20/21']"
THAP6,,
KRTAP6-1,,
USP13,['IPR016652'],['Ubiquitinyl hydrolase']
BRF1,['IPR000812'],['Transcription factor TFIIB']
KAT5,['IPR037995'],['Histone acetyltransferase Esa1/KAT5/Tip60']
KLHDC4,,
SLC7A14,['IPR002293'],['Amino acid/polyamine transporter I']
DVL3,"['IPR008339', 'IPR008342', 'IPR015506']","['Dishevelled family', 'Dishevelled-3', 'Dishevelled-related protein']"
CCDC166,['IPR029584'],['Coiled-coil domain-containing protein 166']
RARB,"['IPR001723', 'IPR003078']","['Nuclear hormone receptor', 'Retinoic acid receptor']"
THRA,"['IPR001723', 'IPR001728']","['Nuclear hormone receptor', 'Thyroid hormone receptor']"
CLP1,['IPR028606'],['Polyribonucleotide 5-hydroxyl-kinase Clp1']
THRB,"['IPR001723', 'IPR001728']","['Nuclear hormone receptor', 'Thyroid hormone receptor']"
WDR54,,
,,
ECT2,['IPR026817'],['Guanine nucleotide exchange factor Ect2']
AGBL2,,
C14orf93,['IPR028101'],['Protein of unknown function DUF4616']
QTRT2,,
DDX46,,
KRTAP19-8,['IPR021743'],"['Keratin-associated protein, type6/8/16/19/20/21']"
HOOK2,['IPR008636'],['Hook protein family']
NINJ1,['IPR007007'],['Ninjurin']
DLX4,,
GOLGA5,['IPR019177'],['Golgin subfamily A member 5']
IRF7,,
CMTM5,,
BRD9,['IPR021900'],['Protein of unknown function DUF3512']
CACNB4,['IPR000584'],"['Voltage-dependent calcium channel, L-type, beta subunit']"
MOCS2,"['IPR003448', 'IPR028888']","['Molybdopterin biosynthesis MoaE', 'Molybdopterin synthase catalytic subunit, eukaryotes']"
02-Sep,"['IPR008113', 'IPR016491']","['Septin 2', 'Septin']"
COQ10B,,
ABRAXAS2,"['IPR023238', 'IPR023240']","['FAM175 family', 'FAM175 family, BRISC complex, Abro1 subunit']"
ZBED1,,
AKR1C8P,['IPR020471'],['Aldo/keto reductase']
CLPTM1,['IPR008429'],['Cleft lip and palate transmembrane 1']
HAND1,,
ZNF671,,
CLIP3,,
WWP2,['IPR024928'],"['E3 ubiquitin-protein ligase, SMURF1 type']"
SLC15A2,"['IPR000109', 'IPR004768']","['Proton-dependent oligopeptide transporter family', 'Oligopeptide transporter']"
NAPSA,['IPR001461'],['Aspartic peptidase A1 family']
TM4SF19,['IPR001461'],['Aspartic peptidase A1 family']
ITGA1,['IPR000413'],['Integrin alpha chain']
TOMM40,"['IPR027246', 'IPR037930']","['Eukaryotic porin/Tom40', 'Tom40']"
CXorf1,"['IPR027246', 'IPR037930']","['Eukaryotic porin/Tom40', 'Tom40']"
TNFRSF11B,"['IPR017371', 'IPR022323']","['Tumour necrosis factor receptor 11B', 'Tumour necrosis factor receptor 11']"
EIF3F,['IPR027531'],['Eukaryotic translation initiation factor 3 subunit F']
PPP1R17,['IPR027531'],['Eukaryotic translation initiation factor 3 subunit F']
NDUFB10,"['IPR019377', 'IPR039993']","['NADH-ubiquinone oxidoreductase, subunit 10', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10']"
TFEC,['IPR024101'],['Transcription factor EC']
UQCRQ,['IPR004205'],['Cytochrome b-c1 complex subunit 8']
SUZ12,,
ERLEC1,,
NCAPD2,"['IPR007673', 'IPR026971']","['Condensin subunit 1', 'Condensin subunit 1/Condensin-2 complex subunit D3']"
RGS7BP,"['IPR007673', 'IPR026971']","['Condensin subunit 1', 'Condensin subunit 1/Condensin-2 complex subunit D3']"
SART3,,
TNIP1,,
EXOSC7,,
INA,['IPR027703'],['Alpha-internexin']
EREG,,
MMRN2,,
APBA3,['IPR030531'],['Amyloid beta A4 precursor protein-binding family A member 3']
MTBP,['IPR039061'],['MDN2-binding protein']
EFTUD2,,
CHEK2,,
DNAL4,['IPR001372'],"['Dynein light chain, type 1/2']"
ACAP1,,
PUM2,,
CYP2W1,"['IPR001128', 'IPR002401']","['Cytochrome P450', 'Cytochrome P450, E-class, group I']"
NDNF,['IPR019326'],['Protein NDNF']
STOML3,"['IPR001972', 'IPR028519', 'IPR043202']","['Stomatin/HflK/HflC family', 'Stomatin-like protein 3', 'Band-7 stomatin-like']"
C11orf45,['IPR041391'],['Protein of unknown function DUF5570']
ACTL6A,['IPR004000'],['Actin family']
METTL21C,['IPR019410'],['Lysine methyltransferase']
ZNF385C,['IPR019410'],['Lysine methyltransferase']
WNT11,"['IPR005817', 'IPR026536']","['Wnt', 'Wnt-11 protein']"
PAK4,,
CDC7,,
SPATA31B1P,,
PEX11B,['IPR008733'],['Peroxisomal biogenesis factor 11']
UQCR11,['IPR015089'],['Cytochrome b-c1 complex subunit 10']
CASQ2,['IPR001393'],['Calsequestrin']
C10orf88,['IPR028043'],['ATPase PAAT-like']
R3HDM1,,
IQCD,['IPR042815'],['Dynein regulatory complex protein 10']
LARS2,['IPR002302'],['Leucine-tRNA ligase']
FAM76A,['IPR029660'],['FAM76A']
MYL12A,,
SNX17,"['IPR028666', 'IPR037831']","['Sorting nexin-17', 'SNX17/27/31']"
TRAM2,['IPR016447'],['Translocation associated membrane protein']
LAMA4,,
HERC3,,
TRIM44,,
ARNTL,['IPR001067'],['Nuclear translocator']
NSD2,,
PIK3CD,['IPR015433'],['Phosphatidylinositol kinase']
TEX48,['IPR015433'],['Phosphatidylinositol kinase']
RTP4,['IPR026690'],['Receptor-transporting protein 4']
PRR7,['IPR026690'],['Receptor-transporting protein 4']
DAZAP2,['IPR026690'],['Receptor-transporting protein 4']
KLRG1,['IPR042190'],['Killer cell lectin-like receptor subfamily G member 1']
SLC35B2,['IPR013657'],['UAA transporter']
ZNF417,,
ASB9,,
RSPRY1,,
MIR17HG,,
CCNE2,"['IPR028858', 'IPR039361']","['Cyclin E', 'Cyclin']"
ETV2,,
ZNF519,,
HAMP,['IPR010500'],['Hepcidin']
B3GALT4,['IPR002659'],"['Glycosyl transferase, family 31']"
UPK1A,"['IPR000301', 'IPR034765']","['Tetraspanin', 'Uroplakin-1a']"
ERVK-8,,
HERVK_113,,
CLGN,['IPR001580'],['Calreticulin/calnexin']
JOSD1,,
LECT2,"['IPR008663', 'IPR017381']","['Leukocyte cell-derived chemotaxin 2', 'Leukocyte cell-derived chemotaxin 2, chordata']"
SLC39A14,['IPR003689'],['Zinc/iron permease']
RAB3GAP1,['IPR003689'],['Zinc/iron permease']
PRR4,['IPR026086'],['Proline-rich protein']
ARL6IP1,['IPR026086'],['Proline-rich protein']
NKX2-3,,
LRRC14,['IPR026292'],['Leucine-rich repeat-containing protein 14']
HGS,['IPR017073'],"['Ubiquitin binding protein, Hrs/VPS27']"
SETDB1,['IPR025796'],['Histone-lysine N-methyltransferase SETDB1']
MANSC1,,
RAB29,"['IPR001806', 'IPR030697']","['Small GTPase', 'Ras-related protein Rab29/Rab38/Rab32']"
KARS,"['IPR002313', 'IPR034762']","['Lysine-tRNA ligase, class II', 'Bacterial/eukaryotic lysine-tRNA ligase, class II']"
AURKA,['IPR030616'],['Aurora kinase']
SLC25A38,,
SULT1C2,,
NEIL3,,
SLC28A1,"['IPR008276', 'IPR030212']","['Concentrative nucleoside transporter', 'Concentrative nucleoside transporter CNT1/CNT2']"
NPLOC4,['IPR016563'],['Nuclear protein localization protein 4']
MATN2,['IPR030747'],['Matrilin-2']
MLC1,['IPR033280'],['Membrane protein MLC1']
FBXO30,,
FGFBP3,['IPR010510'],['FGF binding 1']
XPO1,,
PDHX,,
,,
C10orf113,['IPR040874'],['Protein of of unknown function DUF5551']
MOCS2,"['IPR003749', 'IPR028887']","['Sulfur carrier ThiS/MoaD-like', 'Molybdopterin synthase sulfur carrier subunit']"
HNRNPDL,,
ZNF263,,
DOPEY1,['IPR040314'],['Protein dopey']
IQCB1,['IPR028765'],['IQ calmodulin-binding motif-containing protein 1']
RRS1,['IPR007023'],['Ribosomal biogenesis regulatory protein']
POLD3,['IPR019038'],['DNA polymerase delta subunit 3']
KIAA0040,['IPR039964'],['Uncharacterized protein KIAA0040-like']
VPS26C,,
ARHGEF6,['IPR003096'],['Smooth muscle protein/calponin']
INO80D,,
SLC27A2,['IPR030305'],['Fatty acid transport protein 2']
BRD3,,
KIF14,['IPR027640'],['Kinesin-like protein']
SSX1,['IPR028804'],['SSX family']
PPP1R12A,['IPR017401'],['Protein phosphatase 1 regulatory subunit 12A/B/C']
ACAP2,,
AZIN1,"['IPR000183', 'IPR002433', 'IPR031178']","['Ornithine/DAP/Arg decarboxylase', 'Ornithine decarboxylase', 'Antizyme inhibitor 1']"
SSX2B,['IPR028804'],['SSX family']
EIF4H,,
GAK,,
C12orf60,,
HEXA-AS1,,
FAM182B,,
EXTL1,['IPR004263'],['Exostosin-like']
BAD,['IPR018868'],['Bcl2-associated agonist of cell death']
GFRA1,"['IPR003438', 'IPR003503', 'IPR017372']","['Glial cell line-derived neurotrophic factor receptor', 'Glial cell line-derived neurotrophic factor receptor, alpha 1', 'Glial cell line-derived neurotrophic factor receptor, alpha 1/2']"
RNF121,['IPR040176'],['RING finger protein RNF121/RNF175']
PLPP4,['IPR028668'],['Phospholipid phosphatase 4/5']
KLF11,,
WNT9A,"['IPR005817', 'IPR013303']","['Wnt', 'Wnt-9a protein']"
WDR43,,
WNT9B,"['IPR005817', 'IPR026535']","['Wnt', 'Wnt-9b protein']"
GIPC1,['IPR017379'],['PDZ domain-containing protein GIPC1/2/3']
TAX1BP3,['IPR017268'],['Tax1-binding protein 3']
POSTN,['IPR016666'],['TGF beta-induced protein/periostin']
EXT1,"['IPR004263', 'IPR027670']","['Exostosin-like', 'Exostosin-1']"
PTPRN2,['IPR033522'],['Receptor-type tyrosine-protein phosphatase-like N/N2']
RAB8B,['IPR001806'],['Small GTPase']
ACOX1,"['IPR012258', 'IPR034171']","['Acyl-CoA oxidase', 'Peroxisomal acyl-coenzyme A oxidase']"
VAX1,['IPR033020'],['Ventral anterior homeobox 1']
SMARCD2,['IPR030090'],['SWI/SNF complex subunit BAF60B']
CMTM2,,
JPT2,['IPR033335'],['Microtubule-associated protein Jupiter']
SRD5A3,['IPR039698'],['Polyprenol reductase']
RAB1C,['IPR001806'],['Small GTPase']
RASIP1,,
CCNYL2,"['IPR012399', 'IPR013922']","['Cyclin Y', 'Cyclin PHO80-like']"
C2CD6,['IPR031462'],['C2 calcium-dependent domain-containing protein 6']
PCDH17,['IPR030709'],['Protocadherin-17']
ZNF146,,
OXA1L,['IPR001708'],['Membrane  insertase YidC/ALB3/OXA1/COX18']
P2RY6,"['IPR000276', 'IPR001973']","['G protein-coupled receptor, rhodopsin-like', 'P2Y6 purinoceptor']"
EEA1,,
SMARCC1,['IPR030087'],['SWI/SNF complex subunit SMARCC1']
CDK5R1,['IPR004944'],['Cyclin-dependent kinase 5 activator']
LIN7A,['IPR017365'],['Protein lin-7']
FGF14,"['IPR002209', 'IPR028284']","['Fibroblast growth factor family', 'Fibroblast growth factor 14']"
MTHFD2L,['IPR000672'],['Tetrahydrofolate dehydrogenase/cyclohydrolase']
FGF11,"['IPR002209', 'IPR028253']","['Fibroblast growth factor family', 'Fibroblast growth factor 11']"
FGF13,"['IPR002209', 'IPR028279']","['Fibroblast growth factor family', 'Fibroblast growth factor 13']"
ZWILCH,['IPR018630'],"['RZZ complex, subunit Zwilch']"
MAP4K1,['IPR021160'],['Mitogen-activated protein (MAP) kinase kinase kinase kinase']
DLX6,,
FAM110D,,
ATAD3C,,
GPKOW,,
REEP1,,
DLX5,,
DLX1,,
SIM1,,
ATF7IP2,"['IPR026085', 'IPR026089']","['Activating transcription factor 7-interacting protein', 'Activating transcription factor 7-interacting protein 2']"
MEX3C,,
SNAP47,,
RGS12,,
NCF4,['IPR000919'],['Neutrophil cytosol factor P40']
FSCN2,"['IPR010431', 'IPR024703']","['Fascin', 'Fascin, metazoans']"
TIMM23,"['IPR010431', 'IPR024703']","['Fascin', 'Fascin, metazoans']"
FAM209B,['IPR027943'],['FAM209 family']
PDIA6,,
HAT1,['IPR017380'],"['Histone acetyltransferase type B, catalytic subunit']"
ARHGAP32,,
ZNF395,,
IKBKB,,
SLC5A5,"['IPR001734', 'IPR035689']","['Sodium/solute symporter', 'Sodium/iodide cotransporter']"
RRP1,['IPR010301'],"['Nucleolar, Nop52']"
NDUFV3,['IPR026193'],['NADH-ubiquinone oxidoreductase flavoprotein 3']
RGS13,['IPR034954'],['Regulator of G-protein signalling 13']
TPTE,,
DAZL,"['IPR034779', 'IPR037366']","['Deleted in azoospermia-like', 'BOULE/DAZ family']"
CDS1,['IPR000374'],['Phosphatidate cytidylyltransferase']
GSDMB,['IPR007677'],['Gasdermin']
HECTD2,,
HPS1,,
RPL3L,,
GATA6,['IPR039355'],['Transcription factor GATA']
ITFG1,['IPR024881'],['T-cell immunomodulatory protein']
MUC7,['IPR033529'],['Mucin-7']
COPS5,['IPR037740'],['COP9 signalosome complex subunit 5']
FAM209A,['IPR027943'],['FAM209 family']
CASK,,
PLD2,"['IPR015679', 'IPR016555']","['Phospholipase D family', 'Phospholipase D, eukaryotic type']"
FSTL4,,
OSR1,,
EVA1A,['IPR039501'],['Protein eva-1 homologue A/B']
HMGCLL1,"['IPR030021', 'IPR043594']","['HMG-CoA lyase-like1', 'HMG-CoA lyase']"
ACAD10,['IPR041492'],['Haloacid dehalogenase-like hydrolase']
UPF1,,
NCR3,['IPR043226'],['Natural cytotoxicity triggering receptor 3']
CNNM2,,
UBE2L6,,
MARS,"['IPR014758', 'IPR023458']","['Methionyl-tRNA synthetase', 'Methionine-tRNA ligase, type 1']"
NPSR1,"['IPR001817', 'IPR027294']","['Vasopressin receptor', 'Neuropeptide S receptor']"
MINDY3,['IPR039785'],['Deubiquitinating enzyme MINDY-3/4']
CAGE1,['IPR029381'],['Cancer-associated gene protein 1']
ZNF596,,
PLCG1,"['IPR001192', 'IPR016279', 'IPR028380']","['Phosphoinositide phospholipase C family', 'Phosphatidylinositol-4, 5-bisphosphate phosphodiesterase gamma', '1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1']"
FAM234B,,
AZU1,['IPR001314'],"['Peptidase S1A, chymotrypsin family']"
ENKUR,,
TMEM167A,['IPR009653'],['Protein kish']
TMEM163,['IPR026765'],['Transmembrane protein 163']
TVP23C,['IPR008564'],['Golgi apparatus membrane protein TVP23-like']
ADAM32,,
METTL24,['IPR026913'],['Methyltransferase-like protein 24']
ACTR5,['IPR004000'],['Actin family']
NEFL,['IPR027692'],['Neurofilament light polypeptide']
LDHB,"['IPR001557', 'IPR011304']","['L-lactate/malate dehydrogenase', 'L-lactate dehydrogenase']"
SPINK2,['IPR042167'],['Serine protease inhibitor Kazal-type 2']
CLEC18A,['IPR001283'],['Cysteine-rich  secretory protein-related']
RPS10,['IPR037447'],['40S Ribosomal protein S10']
NEFM,"['IPR002957', 'IPR027697']","['Keratin, type I', 'Neurofilament medium polypeptide']"
MMP13,"['IPR021190', 'IPR028711']","['Peptidase M10A', 'Collagenase 3']"
RPL24,['IPR000988'],['Ribosomal protein L24e-related']
CENPB,['IPR033062'],['Major centromere autoantigen B']
TMEM63B,,
TBC1D16,,
RDH11,['IPR002347'],['Short-chain dehydrogenase/reductase SDR']
RPS5,"['IPR000235', 'IPR005716']","['Ribosomal protein S5/S7', 'Ribosomal protein S5/S7, eukaryotic/archaeal']"
RPS9,"['IPR005710', 'IPR022801']","['Ribosomal protein S4/S9, eukaryotic/archaeal', 'Ribosomal protein S4/S9']"
GRAPL,['IPR043539'],['Grb2-like']
ZNF503,,
TRIM11,,
FAM174A,['IPR009565'],['Protein of unknown function DUF1180']
SGF29,['IPR037802'],['SAGA-associated factor 29']
MFSD3,['IPR011701'],['Major facilitator superfamily']
SLC25A40,['IPR002067'],['Mitochondrial carrier protein']
IL17RA,['IPR039465'],['Interleukin-17 receptor-like']
FKBP1B,,
EEF1A1,['IPR004539'],"['Translation elongation factor EF1A, eukaryotic/archaeal']"
ANKRA2,,
COG4,,
PSMD5,['IPR019538'],['26S proteasome non-ATPase regulatory subunit 5']
RPL5,['IPR005485'],['Ribosomal protein L5 eukaryotic/L18 archaeal']
RPL27A,['IPR030878'],['Ribosomal protein L15']
RPL28,['IPR002672'],['Ribosomal protein L28e']
RPL21,['IPR001147'],['Ribosomal protein L21e']
WASHC2D,,
ATP5MF,['IPR019344'],"['Mitochondrial F1-F0 ATP synthase subunit F, predicted']"
ARRB2,['IPR000698'],['Arrestin']
ASDURF,['IPR000698'],['Arrestin']
TBC1D15,,
SMCO3,['IPR040004'],['Single-pass membrane and coiled-coil domain-containing protein 3']
CCDC51,['IPR040004'],['Single-pass membrane and coiled-coil domain-containing protein 3']
HYKK,['IPR040004'],['Single-pass membrane and coiled-coil domain-containing protein 3']
SAAL1,,
MDM1,['IPR029136'],['Nuclear protein MDM1']
CD33,,
ZNF408,,
HLA-B,,
SDS,,
EVI2A,['IPR008608'],['Ectropic viral integration site 2A protein']
TIMM23B,['IPR005681'],"['Mitochondrial inner membrane translocase complex, subunit Tim23']"
FPR1,"['IPR000276', 'IPR027345']","['G protein-coupled receptor, rhodopsin-like', 'Formyl peptide receptor 1']"
CPN2,,
COL14A1,,
HMX2,,
SGTB,,
RAB3IL1,['IPR040351'],['Guanine nucleotide exchange factor RAB3IL/RAB3IP/Sec2']
PRDX2,['IPR024706'],"['Peroxiredoxin, AhpC-type']"
KLK2,['IPR001314'],"['Peptidase S1A, chymotrypsin family']"
LRRIQ3,,
ACTA1,['IPR004000'],['Actin family']
RNF125,,
ALG14,['IPR013969'],['Oligosaccharide biosynthesis protein Alg14-like']
NRBF2,,
C2CD3,,
DNAJB14,,
SLC10A4,"['IPR002657', 'IPR030204']","['Bile acid:sodium symporter/arsenical resistance protein  Acr3', 'Solute carrier family 10 member 4']"
ACCSL,,
NUP188,['IPR018864'],['Nucleoporin Nup188']
VIPAS39,,
PGC,['IPR001461'],['Aspartic peptidase A1 family']
AMZ1,,
PHYHD1,['IPR008775'],['Phytanoyl-CoA dioxygenase']
RNFT2,,
SMIM12,['IPR031933'],['UPF0767 family']
LRIF1,['IPR026191'],['Ligand-dependent nuclear receptor-interacting factor 1']
WDR34,,
GK,"['IPR000577', 'IPR005999']","['Carbohydrate kinase, FGGY', 'Glycerol kinase']"
MRPL44,,
PAFAH1B3,,
USP42,,
CNRIP1,,
FAM236B,,
FAM71B,,
TESPA1,"['IPR026647', 'IPR043444']","['Protein TESPA1', 'Protein  TESPA1-like']"
EDC3,,
DISP1,,
FAM236B,,
CLBA1,,
AGER,,
HSPBAP1,['IPR013296'],['HSPB1-associated protein 1']
C9orf170,['IPR013296'],['HSPB1-associated protein 1']
USP17L18,,
SLC26A5,"['IPR001902', 'IPR030282']","['SLC26A/SulP transporter', 'Prestin']"
M1AP,['IPR033587'],['Meiosis 1 arrest protein']
IGKV2-40,,
PIWIL2,,
GABRA6,"['IPR001390', 'IPR005436', 'IPR006028', 'IPR006201']","['Gamma-aminobutyric-acid A receptor, alpha subunit', 'Gamma-aminobutyric-acid A receptor, alpha 6 subunit', 'Gamma-aminobutyric acid A receptor/Glycine receptor alpha', 'Neurotransmitter-gated ion-channel']"
PCOLCE,['IPR028870'],['Procollagen C-endopeptidase enhancer 1']
PLCL1,['IPR042124'],['Inactive phospholipase C-like protein 1']
PDK1,['IPR039028'],['PDK/BCKDK protein kinase']
POC1B,,
PDCD1,['IPR042379'],['Programmed cell death protein 1']
RBM33,['IPR039878'],['RNA-binding protein 33']
RNF217,['IPR031127'],['E3 ubiquitin ligase RBR family']
PDK2,['IPR039028'],['PDK/BCKDK protein kinase']
LRRC24,,
TIRAP,['IPR017279'],"['Toll-interleukin 1 receptor domain-containing adaptor protein, Tirap']"
DTNBP1,['IPR017279'],"['Toll-interleukin 1 receptor domain-containing adaptor protein, Tirap']"
VPS37B,['IPR037859'],['Vacuolar protein sorting-associated protein 37']
PEA15,['IPR029546'],['Astrocytic phosphoprotein PEA-15']
PDK3,['IPR039028'],['PDK/BCKDK protein kinase']
MAP6D1,['IPR007882'],['Microtubule-associated protein 6']
EBP,['IPR007905'],['Emopamil-binding protein']
PGM5,['IPR005841'],['Alpha-D-phosphohexomutase superfamily']
TTC39A,['IPR019412'],['Inclusion body clearance protein Iml2/Tetratricopeptide repeat protein 39']
CCDC97,['IPR018613'],['Ccdc97-like']
GPATCH4,,
PMVK,['IPR005919'],['Higher eukaryotic phosphomevalonate kinase']
STAG3L4,['IPR039662'],['Cohesin subunit Scc3/SA']
TMEM218,['IPR039662'],['Cohesin subunit Scc3/SA']
ADPRM,,
C1GALT1C1,['IPR026731'],['C1GALT1-specific chaperone 1']
CIRBP-AS1,['IPR026731'],['C1GALT1-specific chaperone 1']
RRP36,['IPR009292'],['rRNA biogenesis protein RRP36']
SUN5,['IPR030273'],['SUN domain-containing protein 5']
FAM57A,,
AGO3,['IPR028603'],['Protein argonaute-3']
CDK10,,
MANEA,['IPR026071'],['Glycosyl hydrolase family 99']
DBI,,
FGR,,
MRPS24,['IPR026146'],"['28S ribosomal protein S24, mitochondrial']"
JKAMP,['IPR026146'],"['28S ribosomal protein S24, mitochondrial']"
ACY1,"['IPR002933', 'IPR010159']","['Peptidase M20', 'N-acyl-L-amino-acid amidohydrolase']"
FAM212A,['IPR039201'],['PAK4-inhibitor inka']
MRPL53,['IPR019716'],"['Ribosomal protein L53, mitochondrial']"
KRTAP24-1,['IPR007951'],"['Keratin-associated protein, PMG type']"
KTI12,['IPR013641'],['Protein KTI12/L-seryl-tRNA(Sec) kinase']
NR4A1,"['IPR001723', 'IPR003070', 'IPR003071']","['Nuclear hormone receptor', 'Orphan nuclear receptor', 'Orphan nuclear receptor, HMR type']"
KRTAP27-1,['IPR007951'],"['Keratin-associated protein, PMG type']"
TGM1,,
MYOCOS,,
KIF1BP,['IPR022083'],['KIF-1 binding protein']
THAP11,,
FAM120B,,
GNPNAT1,['IPR039143'],['Glucosamine 6-phosphate N-acetyltransferase']
FAM177B,['IPR028260'],['FAM177 family']
SLC2A5,"['IPR002442', 'IPR003663', 'IPR005828']","['Fructose transporter, type 5 (GLUT5)', 'Sugar/inositol transporter', 'Major facilitator,  sugar transporter-like']"
FGF6,"['IPR002209', 'IPR028242']","['Fibroblast growth factor family', 'Fibroblast growth factor 6']"
ESD,['IPR000801'],['Putative esterase']
ARRDC2,,
KRTAP6-3,['IPR040313'],['Keratin-associated protein 6']
BRWD3,,
PHF21B,,
KRTAP22-2,,
MYL12A,,
CA4,"['IPR018343', 'IPR023561', 'IPR041874']","['Carbonic anhydrase, CA4', 'Carbonic anhydrase, alpha-class', 'Carbonic anhydrase, CA4/CA15']"
KRTAP19-5,"['IPR018343', 'IPR023561', 'IPR041874']","['Carbonic anhydrase, CA4', 'Carbonic anhydrase, alpha-class', 'Carbonic anhydrase, CA4/CA15']"
KRTAP19-4,['IPR021743'],"['Keratin-associated protein, type6/8/16/19/20/21']"
KRTAP19-6,['IPR021743'],"['Keratin-associated protein, type6/8/16/19/20/21']"
SYNPR,,
KRTAP15-1,['IPR007951'],"['Keratin-associated protein, PMG type']"
KRTAP13-4,['IPR007951'],"['Keratin-associated protein, PMG type']"
ETNPPL,['IPR005814'],['Aminotransferase class-III']
GNLY,['IPR038847'],['Granulysin-like']
UBE2NL,,
CAV1,"['IPR001612', 'IPR015504']","['Caveolin', 'Caveolin-1']"
PIGX,"['IPR013233', 'IPR040039']","['Glycosylphosphatidylinositol-mannosyltransferase I, PIG-X/PBN1', 'Phosphatidylinositol-glycan biosynthesis class X protein']"
FAM81A,['IPR029622'],['Protein FAM81A']
FAM213B,['IPR032801'],['Peroxiredoxin-like 2A/B/C']
TCEAL4,['IPR021156'],['Transcription elongation factor A-like/Brain expressed X-linked']
ZCRB1,,
TACSTD2,['IPR043406'],['Transmembrane glycoprotein EPCAM/Trop-2']
RBP3,['IPR032956'],['Retinol-binding protein 3']
SASH3,['IPR035722'],['SAM and SH3 domain-containing protein 3']
MED11,['IPR019404'],"['Mediator complex, subunit Med11']"
UROS,['IPR039793'],['Uroporphyrinogen-III synthase']
MIIP,['IPR039793'],['Uroporphyrinogen-III synthase']
CD28,"['IPR008093', 'IPR040216']","['T cell antigen CD28', 'Cytotoxic T-lymphocyte protein 4/CD28']"
RPL39L,['IPR000077'],['Ribosomal protein L39e']
NEURL3,['IPR037962'],['Neuralized']
SLC35G2,,
BAHD1,,
GBE1,['IPR037439'],"['1,4-alpha-glucan-branching enzyme']"
CNIH3,['IPR003377'],['Cornichon']
FNDC9,,
MALSU1,['IPR004394'],['Protein Iojap/ribosomal silencing factor RsfS']
TH,"['IPR001273', 'IPR005962', 'IPR019773']","['Aromatic amino acid hydroxylase', 'Tyrosine 3-monooxygenase', 'Tyrosine 3-monooxygenase-like']"
NANP,"['IPR006439', 'IPR011950', 'IPR041492']","['HAD hydrolase, subfamily IA', 'HAD-superfamily hydrolase, subfamily IA, CTE7', 'Haloacid dehalogenase-like hydrolase']"
SAT2,['IPR032959'],['Diamine acetyltransferase 2']
RNF31,['IPR026254'],['E3 ubiquitin-protein ligase RNF31-like']
TFAP2E,,
DAZAP1,['IPR037366'],['BOULE/DAZ family']
GIMAP5,,
MLLT1,['IPR005033'],['YEATS']
MECOM,,
CWC15,['IPR006973'],['Pre-mRNA-splicing factor  Cwf15/Cwc15']
TMEM254,['IPR028110'],['Transmembrane protein 254']
GNA12,['IPR001019'],"['Guanine nucleotide binding protein (G-protein), alpha subunit']"
MRPL15,"['IPR005749', 'IPR030878']","['Ribosomal protein L15, bacterial-type', 'Ribosomal protein L15']"
THYN1,,
CHFR,,
EHMT1,"['IPR038035', 'IPR043550']","['Histone-lysine N-methyltransferase EHMT1', 'Histone-lysine N-methyltransferase EHMT1/EHMT2']"
SFXN1,"['IPR038035', 'IPR043550']","['Histone-lysine N-methyltransferase EHMT1', 'Histone-lysine N-methyltransferase EHMT1/EHMT2']"
CPD,['IPR015567'],"['Peptidase M14B, caboxypeptidase D']"
C1QL1,,
CRIPT,['IPR019367'],"['PDZ-binding protein, CRIPT']"
C11orf24,['IPR041056'],['Protein of unknown function DUF5585']
SNAPC5,['IPR029138'],['snRNA-activating protein complex subunit 5']
CYFIP2,['IPR008081'],['Cytoplasmic FMR1-interacting']
MPDZ,['IPR032078'],['Multiple PDZ domain protein']
CNOT10,,
BRCC3,['IPR033860'],['Brcc36 isopeptidase']
RMI1,,
LRRC40,,
ZCCHC10,['IPR039715'],['Zinc finger CCHC domain-containing protein 10']
MOCOS,['IPR028886'],['Molybdenum cofactor sulfurase']
MGP,"['IPR002384', 'IPR027118']","['Osteocalcin/matrix Gla protein', 'Matrix Gla protein']"
REX1BD,['IPR039491'],['Required for excision 1-B domain-containing protein']
S1PR1,"['IPR000276', 'IPR000987', 'IPR004061']","['G protein-coupled receptor, rhodopsin-like', 'EDG-1 sphingosine 1-phosphate receptor', 'Sphingosine 1-phosphate receptor']"
TACR2,['IPR000913'],['Neurokinin NK2 receptor']
MAP2K3,,
