Gene_Name,domains,name
MMP7,"['IPR001818', 'IPR002477', 'IPR006026', 'IPR033739']","['Peptidase M10, metallopeptidase', 'Peptidoglycan binding-like', 'Peptidase, metallopeptidase', 'Peptidase M10A, catalytic domain']"
TADA2A,"['IPR001005', 'IPR007526', 'IPR041983']","['SANT/Myb domain', 'SWIRM domain', 'ADA2-like, zinc finger, ZZ-type']"
TAS2R38,,
ERLIN1,['IPR001107'],['Band 7 domain']
CARD9,"['IPR001315', 'IPR042142']","['CARD domain', 'CARD9, CARD domain']"
TAS2R40,,
FRAT2,,
TAS2R39,,
PSIP1,"['IPR000313', 'IPR021567', 'IPR035496']","['PWWP domain', 'Lens epithelium-derived growth factor, integrase-binding domain', 'HDGF-related, PWWP domain']"
TAS2R43,"['IPR000313', 'IPR021567', 'IPR035496']","['PWWP domain', 'Lens epithelium-derived growth factor, integrase-binding domain', 'HDGF-related, PWWP domain']"
UGT1A5,['IPR035595'],"['UDP-glycosyltransferase family, conserved site']"
SPTBN4,"['IPR001605', 'IPR001715', 'IPR001849', 'IPR041681']","['Pleckstrin homology domain, spectrin-type', 'Calponin homology domain', 'Pleckstrin homology domain', 'Pleckstrin homology domain 9']"
MYH1,"['IPR001609', 'IPR002928', 'IPR004009']","['Myosin head, motor domain', 'Myosin tail', 'Myosin, N-terminal, SH3-like']"
TAS2R41,,
UGT1A3,['IPR035595'],"['UDP-glycosyltransferase family, conserved site']"
LGR5,"['IPR000372', 'IPR017452']","['Leucine-rich repeat N-terminal domain', 'GPCR, rhodopsin-like, 7TM']"
TAS2R45,,
TAS2R31,,
OR51E2,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
MYH7,"['IPR001609', 'IPR002928', 'IPR004009']","['Myosin head, motor domain', 'Myosin tail', 'Myosin, N-terminal, SH3-like']"
TDRD15,['IPR002999'],['Tudor domain']
FAM74A1,['IPR002999'],['Tudor domain']
KCNH6,['IPR005821'],['Ion transport domain']
CDH23,['IPR002126'],['Cadherin-like']
TAS2R46,['IPR002126'],['Cadherin-like']
TAS2R19,,
TAS2R30,,
CCNE1,"['IPR004367', 'IPR006671', 'IPR013763']","['Cyclin, C-terminal domain', 'Cyclin, N-terminal', 'Cyclin-like']"
CLDN34,,
GABARAPL2,,
CCNC,"['IPR006671', 'IPR013763']","['Cyclin, N-terminal', 'Cyclin-like']"
NR1I2,"['IPR000536', 'IPR001628']","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type']"
ZNF324,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
EEF1A1P5,"['IPR000795', 'IPR004160']","['Transcription factor, GTP-binding domain', 'Translation elongation factor EFTu/EF1A, C-terminal']"
G6PC,['IPR000326'],['Phosphatidic acid phosphatase type 2/haloperoxidase']
E2F6,"['IPR003316', 'IPR032198']","['E2F/DP family, winged-helix DNA-binding domain', 'E2F transcription factor, CC-MB domain']"
CRLF1,"['IPR003961', 'IPR015152']","['Fibronectin type III', 'Growth hormone/erythropoietin receptor, ligand binding']"
AR,"['IPR000536', 'IPR001628']","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type']"
RARA,"['IPR000536', 'IPR001628']","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type']"
MYH9,"['IPR001609', 'IPR002928', 'IPR004009']","['Myosin head, motor domain', 'Myosin tail', 'Myosin, N-terminal, SH3-like']"
ERN1,"['IPR000719', 'IPR010513', 'IPR018997']","['Protein kinase domain', 'KEN domain', 'PUB domain']"
MYH10,"['IPR001609', 'IPR004009']","['Myosin head, motor domain', 'Myosin, N-terminal, SH3-like']"
ANGEL2,,
EIF4B,['IPR000504'],['RNA recognition motif domain']
CT47A1,['IPR000504'],['RNA recognition motif domain']
PAGE1,['IPR000504'],['RNA recognition motif domain']
AKAP4,['IPR018292'],"['A-kinase anchor 110kDa, C-terminal']"
RSPO1,['IPR043601'],"['R-spondin, Fu-CRD domain']"
TGFBR1,"['IPR000472', 'IPR000719', 'IPR003605']","['Activin types I and II receptor domain', 'Protein kinase domain', 'GS domain']"
ACVR1B,"['IPR000472', 'IPR000719', 'IPR003605']","['Activin types I and II receptor domain', 'Protein kinase domain', 'GS domain']"
RDH16,,
BMPR1A,"['IPR000472', 'IPR000719', 'IPR001245', 'IPR003605']","['Activin types I and II receptor domain', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'GS domain']"
TSPAN10,,
IRS1,"['IPR001849', 'IPR002404']","['Pleckstrin homology domain', 'IRS-type PTB domain']"
C2orf40,,
AGL,"['IPR029436', 'IPR032788', 'IPR032790', 'IPR032792']","['Eukaryotic glycogen debranching enzyme, N-terminal domain', 'Glycogen debranching enzyme, central domain', 'Glycogen debranching enzyme, C-terminal', 'Glycogen debranching enzyme, glucanotransferase domain']"
WDR13,['IPR017986'],['WD40-repeat-containing domain']
GON4L,['IPR017877'],['Myb-like domain']
MEST,['IPR000073'],['Alpha/beta hydrolase fold-1']
PYY3,,
XKR4,,
XKR3,,
KATNA1,"['IPR003593', 'IPR003959', 'IPR015415', 'IPR041569']","['AAA+ ATPase domain', 'ATPase, AAA-type, core', 'Vps4 oligomerisation, C-terminal', 'AAA ATPase, AAA+ lid domain']"
DAD1,,
XKR7,,
XKR6,,
MED24,,
USH2A,"['IPR001791', 'IPR002049', 'IPR003961', 'IPR006558', 'IPR008211']","['Laminin G domain', 'Laminin EGF domain', 'Fibronectin type III', 'LamG-like jellyroll fold', 'Laminin, N-terminal']"
SAP30,,
TECTA,"['IPR000742', 'IPR001007', 'IPR001507', 'IPR001846', 'IPR002919', 'IPR003886', 'IPR014853', 'IPR025615']","['EGF-like domain', 'VWFC domain', 'Zona pellucida domain', 'von Willebrand factor, type D domain', 'Trypsin Inhibitor-like, cysteine rich domain', 'NIDO domain', 'Uncharacterised domain, cysteine-rich', 'TILa domain']"
FBN1,"['IPR000742', 'IPR001881', 'IPR017878', 'IPR026823', 'IPR040872']","['EGF-like domain', 'EGF-like calcium-binding domain', 'TB domain', 'Complement Clr-like EGF domain', 'Fibrillin 1, unique N-terminal domain']"
MAF,"['IPR004827', 'IPR013592']","['Basic-leucine zipper domain', 'Maf transcription factor, N-terminal']"
PCK1,"['IPR035077', 'IPR035078']","['Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain', 'Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal']"
GAA,"['IPR000519', 'IPR025887', 'IPR031727']","['P-type trefoil domain', 'Glycoside hydrolase family 31, N-terminal domain', 'Galactose mutarotase, N-terminal barrel']"
MTHFD1,"['IPR020630', 'IPR020631']","['Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain', 'Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain']"
GCK,"['IPR022672', 'IPR022673']","['Hexokinase, N-terminal', 'Hexokinase, C-terminal']"
FLT3,"['IPR000719', 'IPR001245', 'IPR007110', 'IPR013151', 'IPR020635']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Immunoglobulin-like domain', 'Immunoglobulin', 'Tyrosine-protein kinase, catalytic domain']"
FBN2,"['IPR000742', 'IPR001881', 'IPR017878', 'IPR026823', 'IPR040872']","['EGF-like domain', 'EGF-like calcium-binding domain', 'TB domain', 'Complement Clr-like EGF domain', 'Fibrillin 1, unique N-terminal domain']"
ATG5,,
OPN3,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
PAICS,"['IPR000031', 'IPR028923', 'IPR033626']","['PurE domain', 'SAICAR synthetase/ADE2, N-terminal', 'Class II PurE']"
NDUFB1,,
NPPC,,
PMPCB,"['IPR007863', 'IPR011765']","['Peptidase M16, C-terminal', 'Peptidase M16, N-terminal']"
VPS26A,,
ZNF254,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
FAU,['IPR000626'],['Ubiquitin-like domain']
SAA4,,
PPP1CC,"['IPR004843', 'IPR006186', 'IPR031675']","['Calcineurin-like phosphoesterase domain, ApaH type', 'Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase', 'Serine-threonine protein phosphatase, N-terminal']"
MTX2,['IPR033468'],"['Metaxin, glutathione S-transferase domain']"
MSX2,['IPR001356'],['Homeobox domain']
CETP,"['IPR001124', 'IPR017942']","['Lipid-binding serum glycoprotein, C-terminal', 'Lipid-binding serum glycoprotein, N-terminal']"
ERVK-10,"['IPR000467', 'IPR001995', 'IPR018061', 'IPR034170']","['G-patch domain', 'Peptidase A2A, retrovirus, catalytic', 'Retropepsins', 'Retropepsin-like catalytic domain']"
SH3BGRL3,['IPR002109'],['Glutaredoxin']
ERVK-10,"['IPR000477', 'IPR001037', 'IPR001584', 'IPR002156', 'IPR003308']","['Reverse transcriptase domain', 'Integrase, C-terminal, retroviral', 'Integrase, catalytic core', 'Ribonuclease H domain', 'Integrase, N-terminal zinc-binding domain']"
DNAJC25-GNG10,,
IL25,,
DCSTAMP,,
RSPH9,,
SLC10A7,,
GFI1B,['IPR013087'],['Zinc finger C2H2-type']
TGFB2,"['IPR001111', 'IPR001839']","['TGF-beta, propeptide', 'Transforming growth factor-beta, C-terminal']"
LRCH4,['IPR001715'],['Calponin homology domain']
OR10A5,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
MOSPD3,['IPR000535'],['Major sperm protein (MSP) domain']
FBXO24,['IPR001810'],['F-box domain']
OR10A4,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
ACTN1,"['IPR001715', 'IPR014837']","['Calponin homology domain', 'EF-hand, Ca insensitive']"
OR10A2,,
OR2AG1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
GIGYF1,['IPR003169'],['GYF domain']
MED28,,
EPN3,,
RBM47,"['IPR034440', 'IPR034445']","['Putative RNA-binding protein 47, RNA recognition motif 2', 'Putative RNA-binding protein 47, RNA recognition motif 3']"
HIBCH,,
KRTAP1-1,,
CDC45,,
RANBP10,"['IPR001870', 'IPR003877', 'IPR006594', 'IPR006595']","['B30.2/SPRY domain', 'SPRY domain', 'LIS1 homology motif', 'CTLH, C-terminal LisH motif']"
MYL4,['IPR002048'],['EF-hand domain']
POLQ,"['IPR001098', 'IPR001650', 'IPR011545', 'IPR014001']","['DNA-directed DNA polymerase, family A, palm domain', 'Helicase, C-terminal', 'DEAD/DEAH box helicase domain', 'Helicase superfamily 1/2, ATP-binding domain']"
NME6,['IPR034907'],['Nucleoside diphosphate kinase-like domain']
SLC35B3,['IPR034907'],['Nucleoside diphosphate kinase-like domain']
TACC1,['IPR007707'],"['Transforming acidic coiled-coil-containing protein, C-terminal']"
LRRC38,"['IPR000372', 'IPR000483']","['Leucine-rich repeat N-terminal domain', 'Cysteine-rich flanking region, C-terminal']"
PRAMEF20,,
SYDE2,['IPR000198'],['Rho GTPase-activating protein domain']
POTEB3,"['IPR020683', 'IPR039497']","['Ankyrin repeat-containing domain', 'CCDC144C-like, coiled-coil domain']"
ACE,,
SPAG1,"['IPR013026', 'IPR025986']","['Tetratricopeptide repeat-containing domain', 'RNA-polymerase II-associated protein 3-like, C-terminal domain']"
GKAP1,,
ADA,['IPR001365'],['Adenosine/AMP deaminase domain']
SSRP1,"['IPR009071', 'IPR013719', 'IPR024954', 'IPR035417']","['High mobility group box domain', 'Domain of unknown function DUF1747', 'SSRP1 domain', 'FACT complex subunit POB3-like, N-terminal PH domain']"
DEFB127,,
NUP62CL,,
01-Mar,"['IPR005302', 'IPR005303']","['Molybdenum cofactor sulfurase, C-terminal', 'MOSC, N-terminal beta barrel']"
PRPF40A,"['IPR001202', 'IPR002713']","['WW domain', 'FF domain']"
DEFB129,"['IPR001202', 'IPR002713']","['WW domain', 'FF domain']"
KANSL1L,['IPR029332'],['PEHE domain']
MT-ATP6,,
HYPM,,
GGTLC3,,
RNFT1,['IPR001841'],"['Zinc finger, RING-type']"
MIR1-1HG,['IPR001841'],"['Zinc finger, RING-type']"
ANXA8L1,,
NPIPB8,,
C1orf21,,
P2RY12,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
MCC,['IPR019536'],"['Usher syndrome type-1C protein-binding protein 1, PDZ domain']"
GSTA2,"['IPR004045', 'IPR004046', 'IPR010987']","['Glutathione S-transferase, N-terminal', 'Glutathione S-transferase, C-terminal', 'Glutathione S-transferase, C-terminal-like']"
GSTP1,"['IPR004045', 'IPR004046', 'IPR010987']","['Glutathione S-transferase, N-terminal', 'Glutathione S-transferase, C-terminal', 'Glutathione S-transferase, C-terminal-like']"
MMP28,"['IPR000585', 'IPR001818', 'IPR002477', 'IPR006026', 'IPR033739']","['Hemopexin-like domain', 'Peptidase M10, metallopeptidase', 'Peptidoglycan binding-like', 'Peptidase, metallopeptidase', 'Peptidase M10A, catalytic domain']"
DMD,"['IPR000433', 'IPR001202', 'IPR001715', 'IPR015153', 'IPR015154']","['Zinc finger, ZZ-type', 'WW domain', 'Calponin homology domain', 'EF-hand domain, type 1', 'EF-hand domain, type 2']"
PORCN,,
DUSP15,"['IPR000340', 'IPR000387', 'IPR020422']","['Dual specificity phosphatase, catalytic domain', 'Tyrosine specific protein phosphatases domain', 'Dual specificity protein phosphatase domain']"
MYLK2,"['IPR000719', 'IPR042717']","['Protein kinase domain', 'Myosin light chain kinase 2, catalytic domain']"
OMG,['IPR000372'],['Leucine-rich repeat N-terminal domain']
NBPF19,['IPR000372'],['Leucine-rich repeat N-terminal domain']
NFYA,,
MYL9,['IPR002048'],['EF-hand domain']
CST2,['IPR000010'],['Cystatin domain']
TNFSF4,,
DLGAP1,,
SEC14L6,"['IPR001251', 'IPR011074']","['CRAL-TRIO lipid binding domain', 'CRAL/TRIO, N-terminal domain']"
DEFA4,"['IPR002366', 'IPR006080', 'IPR006081']","['Defensin propeptide', 'Beta/alpha defensin', 'Alpha-defensin']"
SH2B2,"['IPR000980', 'IPR001849', 'IPR015012', 'IPR035058']","['SH2 domain', 'Pleckstrin homology domain', 'Phenylalanine zipper', 'SH2B2, SH2 domain']"
CYP2A6,,
PLPP1,,
S1PR5,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
CLDN4,,
PLPP3,['IPR000326'],['Phosphatidic acid phosphatase type 2/haloperoxidase']
CDH1,"['IPR000233', 'IPR002126', 'IPR014868']","['Cadherin, cytoplasmic domain', 'Cadherin-like', 'Cadherin prodomain']"
GBA3,,
PCED1A,,
ABCG8,['IPR013525'],['ABC-2 type transporter']
EHD4,"['IPR000261', 'IPR002048', 'IPR030381', 'IPR031692', 'IPR040990']","['EH domain', 'EF-hand domain', 'Dynamin-type guanine nucleotide-binding (G) domain', 'EH domain-containing protein, N-terminal', 'Domain of unknown function DUF5600']"
ABCG5,"['IPR003439', 'IPR003593', 'IPR013525']","['ABC transporter-like', 'AAA+ ATPase domain', 'ABC-2 type transporter']"
ATF7IP,['IPR031870'],"['ATF7-interacting protein , protein binding domain']"
CYP19A1,,
OSBPL2,,
MAGEH1,['IPR002190'],['MAGE homology domain']
C20orf85,['IPR002190'],['MAGE homology domain']
OR2D2,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
CDT1,"['IPR014939', 'IPR032054']","['CDT1 Geminin-binding domain-like', 'DNA replication factor Cdt1, C-terminal']"
ISLR,"['IPR000483', 'IPR003598', 'IPR007110', 'IPR013098']","['Cysteine-rich flanking region, C-terminal', 'Immunoglobulin subtype 2', 'Immunoglobulin-like domain', 'Immunoglobulin I-set']"
TNC,"['IPR000742', 'IPR002181', 'IPR003961', 'IPR013111', 'IPR041161']","['EGF-like domain', 'Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain', 'Fibronectin type III', 'EGF-like domain, extracellular', 'Tenascin, EGF-like domain']"
ARID1A,"['IPR001606', 'IPR033388']","['ARID DNA-binding domain', 'SWI/SNF-like complex subunit BAF250, C-terminal']"
ATP5PD,,
EMG1,,
RAD17,,
SMNDC1,"['IPR002999', 'IPR010304']","['Tudor domain', 'Survival motor neuron']"
WDR76,,
KRTAP19-2,,
KRTAP25-1,,
ZFAND3,"['IPR000058', 'IPR002653']","['Zinc finger, AN1-type', 'Zinc finger, A20-type']"
PIK3CD-AS1,"['IPR000058', 'IPR002653']","['Zinc finger, AN1-type', 'Zinc finger, A20-type']"
KRTAP21-3,"['IPR000058', 'IPR002653']","['Zinc finger, AN1-type', 'Zinc finger, A20-type']"
ZNF702P,['IPR013087'],['Zinc finger C2H2-type']
MFSD14B,['IPR020846'],['Major facilitator superfamily domain']
TSPY4,,
TSPY8,,
QSOX1,"['IPR013766', 'IPR017905', 'IPR040986', 'IPR041269']","['Thioredoxin domain', 'ERV/ALR sulfhydryl oxidase domain', 'Sulfhydryl oxidase, flavin adenine dinucleotide (FAD) binding domain', 'Sulfhydryl oxidase, Trx-like domain']"
LYRM7,,
TNPO1,['IPR001494'],"['Importin-beta, N-terminal domain']"
YIPF6,['IPR001494'],"['Importin-beta, N-terminal domain']"
CORO6,"['IPR015048', 'IPR017986', 'IPR024977']","['Domain of unknown function DUF1899', 'WD40-repeat-containing domain', 'Anaphase-promoting complex subunit 4, WD40 domain']"
ARHGEF2,"['IPR000219', 'IPR037806', 'IPR041020']","['Dbl homology (DH) domain', 'ARHGEF2, PH domain', 'ARHGEF1-like, PH domain']"
FAM155B,,
DCTN3,,
BBOX1,"['IPR003819', 'IPR010376']","['TauD/TfdA-like domain', 'Gamma-butyrobetaine hydroxylase-like, N-terminal']"
PEX13,"['IPR001452', 'IPR007223']","['SH3 domain', 'Peroxin 13, N-terminal']"
BCAS2,,
AKTIP,['IPR000608'],['Ubiquitin-conjugating enzyme E2']
P2RY10,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
DCTN6,,
FAM222A,,
ELP4,,
LIMS3,,
SNAPC3,,
PRSS56,['IPR001254'],"['Serine proteases, trypsin domain']"
DNAJC8,,
SIRT1,['IPR026590'],"['Sirtuin family, catalytic core domain']"
HSPD1,,
RIT1,,
RUNDC3A,['IPR004012'],['RUN domain']
SLCO2A1,"['IPR002350', 'IPR020846']","['Kazal domain', 'Major facilitator superfamily domain']"
PIAS1,"['IPR003034', 'IPR004181', 'IPR023321']","['SAP domain', 'Zinc finger, MIZ-type', 'PINIT domain']"
LRRK2,"['IPR000719', 'IPR005225', 'IPR020859', 'IPR032171']","['Protein kinase domain', 'Small GTP-binding protein domain', 'Roc domain', 'C-terminal of Roc (COR) domain']"
MOB1A,,
TNFRSF14,"['IPR001368', 'IPR034031']","['TNFR/NGFR cysteine-rich region', 'Tumor necrosis factor receptor 14/UL144, N-terminal']"
DYSF,"['IPR000008', 'IPR006614', 'IPR012560', 'IPR012968', 'IPR032362', 'IPR037720', 'IPR037722', 'IPR037724', 'IPR037725', 'IPR037726']","['C2 domain', 'Peroxin/Ferlin domain', 'Ferlin A-domain', 'FerIin domain', 'Ferlin, C-terminal domain', 'Ferlin, second C2 domain', 'Ferlin, third C2 domain', 'Ferlin, fifth C2 domain', 'Ferlin, sixth C2 domain', 'Ferlin, first C2 domain']"
MED20,,
SERF1A,['IPR007513'],"['Uncharacterised protein family SERF, N-terminal']"
CNTD2,,
PDSS1,,
CAPN13,['IPR022682'],"['Peptidase C2, calpain, large subunit, domain III']"
PIAS2,"['IPR003034', 'IPR004181']","['SAP domain', 'Zinc finger, MIZ-type']"
PRG4,"['IPR000585', 'IPR001212', 'IPR020436']","['Hemopexin-like domain', 'Somatomedin B domain', 'Somatomedin B, chordata']"
KCNB2,"['IPR000210', 'IPR003131']","['BTB/POZ domain', 'Potassium channel tetramerisation-type BTB domain']"
SPDL1,,
KCNN1,['IPR004178'],['Calmodulin-binding domain']
IL31,,
SLC25A22,,
PAK3,"['IPR000095', 'IPR033923', 'IPR035063']","['CRIB domain', 'p21 activated kinase binding domain', 'p21-activated kinase 3, catalytic domain']"
GCDH,"['IPR006091', 'IPR009075', 'IPR013786']","['Acyl-CoA oxidase/dehydrogenase, central domain', 'Acyl-CoA dehydrogenase/oxidase C-terminal', 'Acyl-CoA dehydrogenase/oxidase, N-terminal']"
PSTPIP2,"['IPR001060', 'IPR031160']","['FCH domain', 'F-BAR domain']"
DHRS3,,
DGKI,"['IPR000756', 'IPR001206', 'IPR020683']","['Diacylglycerol kinase, accessory domain', 'Diacylglycerol kinase, catalytic domain', 'Ankyrin repeat-containing domain']"
KHSRP,"['IPR004087', 'IPR004088']","['K Homology domain', 'K Homology domain, type 1']"
FOXJ1,['IPR001766'],['Fork head domain']
COMMD9,['IPR017920'],['COMM domain']
CNIH4,['IPR017920'],['COMM domain']
SP140L,"['IPR000770', 'IPR001487', 'IPR001965', 'IPR004865', 'IPR019787']","['SAND domain', 'Bromodomain', 'Zinc finger, PHD-type', 'HSR domain', 'Zinc finger, PHD-finger']"
SH2D4B,"['IPR000980', 'IPR035839']","['SH2 domain', 'SH2D4B, SH2 domain']"
ARMC4,,
C10orf120,,
MPP7,"['IPR001452', 'IPR001478', 'IPR004172', 'IPR014775', 'IPR035599']","['SH3 domain', 'PDZ domain', 'L27 domain', 'L27 domain, C-terminal', 'MPP7, SH3 domain']"
ARL6IP5,,
RGS9,"['IPR000591', 'IPR015898', 'IPR016137']","['DEP domain', 'G-protein gamma-like domain', 'RGS domain']"
LCT,,
MMP23B,"['IPR006026', 'IPR007110', 'IPR033739']","['Peptidase, metallopeptidase', 'Immunoglobulin-like domain', 'Peptidase M10A, catalytic domain']"
ITGA2B,['IPR013649'],['Integrin alpha-2']
RASSF9,['IPR000159'],['Ras-associating (RA) domain']
LPA,"['IPR000001', 'IPR001254']","['Kringle', 'Serine proteases, trypsin domain']"
PPP1R2C,,
SLC1A7,,
ANKZF1,['IPR041175'],['VLRF1/Vms1']
GORASP2,['IPR024958'],['GRASP55/65 PDZ-like domain']
VRTN,,
ARSG,['IPR000917'],"['Sulfatase, N-terminal']"
ZNF837,['IPR013087'],['Zinc finger C2H2-type']
BTAF1,"['IPR000330', 'IPR001650']","['SNF2-related, N-terminal domain', 'Helicase, C-terminal']"
SOAT2,,
CCNK,"['IPR004367', 'IPR006671', 'IPR013763']","['Cyclin, C-terminal domain', 'Cyclin, N-terminal', 'Cyclin-like']"
ATP2A1,"['IPR004014', 'IPR006068']","['Cation-transporting P-type ATPase, N-terminal', 'Cation-transporting P-type ATPase, C-terminal']"
PIP5K1B,['IPR002498'],"['Phosphatidylinositol-4-phosphate 5-kinase, core']"
DGAT1,,
CREM,['IPR004827'],['Basic-leucine zipper domain']
ZDHHC11,['IPR001594'],"['Palmitoyltransferase, DHHC domain']"
PANK3,,
SIRPB2,"['IPR003598', 'IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
ARMT1,,
FOXE1,['IPR001766'],['Fork head domain']
LINC00574,['IPR001766'],['Fork head domain']
IPPK,,
07-Mar,['IPR011016'],"['Zinc finger, RING-CH-type']"
SHKBP1,"['IPR000210', 'IPR003131']","['BTB/POZ domain', 'Potassium channel tetramerisation-type BTB domain']"
FBXO17,,
UBA3,"['IPR000594', 'IPR014929']","['THIF-type NAD/FAD binding fold', 'E2 binding']"
ZSCAN18,,
MTMR8,"['IPR003595', 'IPR010569']","['Protein-tyrosine phosphatase, catalytic', 'Myotubularin-like phosphatase domain']"
TBC1D3D,"['IPR003595', 'IPR010569']","['Protein-tyrosine phosphatase, catalytic', 'Myotubularin-like phosphatase domain']"
SYN3,"['IPR020897', 'IPR020898']","['Synapsin, pre-ATP-grasp domain', 'Synapsin, ATP-binding domain']"
TPO,"['IPR000436', 'IPR000742', 'IPR001881']","['Sushi/SCR/CCP domain', 'EGF-like domain', 'EGF-like calcium-binding domain']"
THBD,"['IPR000742', 'IPR001304', 'IPR001881', 'IPR015149', 'IPR026823']","['EGF-like domain', 'C-type lectin-like', 'EGF-like calcium-binding domain', 'Thrombomodulin-like, EGF-like', 'Complement Clr-like EGF domain']"
GPX1,,
ZHX1-C8orf76,,
SYNPO2L,,
PLEKHF2,"['IPR000306', 'IPR017455', 'IPR037871']","['FYVE zinc finger', 'Zinc finger, FYVE-related', 'Phafin, PH domain']"
KRTAP21-1,"['IPR000306', 'IPR017455', 'IPR037871']","['FYVE zinc finger', 'Zinc finger, FYVE-related', 'Phafin, PH domain']"
FAM204A,"['IPR000306', 'IPR017455', 'IPR037871']","['FYVE zinc finger', 'Zinc finger, FYVE-related', 'Phafin, PH domain']"
KRTAP21-2,,
TRIM45,"['IPR000315', 'IPR001841', 'IPR003649']","['B-box-type zinc finger', 'Zinc finger, RING-type', 'B-box, C-terminal']"
ZNF814,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
POU3F1,['IPR013847'],['POU domain']
PRRT4,,
LINC00472,,
ACTR8,,
KRTAP20-2,,
SEH1L,['IPR017986'],['WD40-repeat-containing domain']
LNX1,"['IPR001478', 'IPR001841']","['PDZ domain', 'Zinc finger, RING-type']"
PNMA6A,,
KRTAP20-4,,
AKAIN1,['IPR019511'],"['A-kinase anchor protein 7, RI-RII subunit-binding domain']"
CCDC126,,
KRTAP20-3,,
,"['IPR000477', 'IPR005135']","['Reverse transcriptase domain', 'Endonuclease/exonuclease/phosphatase']"
SPART-AS1,"['IPR000477', 'IPR005135']","['Reverse transcriptase domain', 'Endonuclease/exonuclease/phosphatase']"
LIMS3,['IPR001781'],"['Zinc finger, LIM-type']"
KRTAP6-2,,
GLMN,,
PDZK1,"['IPR001478', 'IPR041489']","['PDZ domain', 'PDZ domain 6']"
KRTAP20-1,,
THAP6,['IPR006612'],['THAP-type zinc finger']
KRTAP6-1,['IPR006612'],['THAP-type zinc finger']
USP13,"['IPR001607', 'IPR015940', 'IPR041432']","['Zinc finger, UBP-type', 'Ubiquitin-associated domain', 'Ubiquitinyl hydrolase, variant UBP zinc finger']"
BRF1,"['IPR013137', 'IPR013150', 'IPR013763']","['Zinc finger, TFIIB-type', 'Transcription factor TFIIB, cyclin-like domain', 'Cyclin-like']"
KAT5,"['IPR000953', 'IPR002717', 'IPR025995']","['Chromo/chromo shadow domain', 'Histone acetyltransferase domain, MYST-type', 'RNA binding activity-knot of a chromodomain']"
KLHDC4,,
SLC7A14,['IPR029485'],"['Cationic amino acid transporter, C-terminal']"
DVL3,"['IPR000591', 'IPR001478', 'IPR024580']","['DEP domain', 'PDZ domain', 'Dishevelled C-terminal']"
CCDC166,['IPR032777'],['Domain of unknown function DUF4515']
RARB,"['IPR000536', 'IPR001628']","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type']"
THRA,"['IPR000536', 'IPR001628']","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type']"
CLP1,"['IPR010655', 'IPR032319']","['Pre-mRNA cleavage complex subunit Clp1, C-terminal', ""Polyribonucleotide 5'-hydroxyl-kinase Clp1, P-loop domain""]"
THRB,"['IPR000536', 'IPR001628']","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type']"
WDR54,['IPR017986'],['WD40-repeat-containing domain']
,['IPR017986'],['WD40-repeat-containing domain']
ECT2,"['IPR000219', 'IPR001357']","['Dbl homology (DH) domain', 'BRCT domain']"
AGBL2,"['IPR000834', 'IPR040626']","['Peptidase M14, carboxypeptidase A', 'Cytosolic carboxypeptidase, N-terminal']"
C14orf93,,
QTRT2,['IPR002616'],['tRNA-guanine(15) transglycosylase-like']
DDX46,"['IPR011545', 'IPR014014']","['DEAD/DEAH box helicase domain', 'RNA helicase, DEAD-box type, Q motif']"
KRTAP19-8,,
HOOK2,,
NINJ1,,
